,HandId,Level,BB,preflop_raisess_to,Players,Board,SHOW_DOWN,preflop_raises,preflop_calls,preflop_allin,flop_bets,flop_raises,flop_calls,flop_allin,turn_bets,turn_raises,turn_calls,turn_allin,river_bets,river_raises,river_calls,river_allin
0,184287173726,I,20,0,8,Tc Kd Ts 6c 9d,Td 7s,0,2,0,0,0,0,0,1,1,1,0,1,0,1,0
1,184287209623,I,20,60,9,Ac 3c 9s 4d Jc,Jh As,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0
2,184287349299,I,20,94,8,2s 7d Jc 6h 5h,6d Jd,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
3,184287409369,I,20,60,8,3s 4d 8c Ac Ks,8d Kd,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0
4,184287473806,II,30,0,8,2s Ad 2d 3h 5d,7h 2h,0,3,0,1,2,1,2,0,0,0,0,0,0,0,0
5,184287498752,II,30,960,8,Qs Ah 4d 4c 2c,Ac 2h,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
6,184287541896,II,30,302,8,Kd Qc 5h Jc Qd,Td 9d,2,1,0,1,0,1,0,1,0,1,2,0,0,0,0
7,184287686224,II,30,991,8,Ac Th 6h 2s 9c,Kd Ad,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
8,184287710222,II,30,167,8,8s Ad 2s Td Kh,Ac 2d,1,4,0,1,0,1,0,1,0,1,0,0,0,0,0
9,184287732780,II,30,2081,8,9h As 9d Kd 2c,5c 5d,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
10,184287754400,II,30,0,7,2c 8h 5h 3d 6h,Qh 9h,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1
11,184287827708,II,30,90,8,Ah 5h Tc 5d Ks,Kd Kh,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0
12,184287851644,II,30,0,8,Jc 6s Qh 8d 9h,3s Js,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
13,184287929150,III,50,250,8,7d Qh Js Jd 4c,Jc Kc,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0
14,184287946829,III,50,150,9,9h 4d 6d 7s Kh,Jh Kd,1,3,0,1,1,1,2,0,0,0,0,0,0,0,0
15,184287992278,III,50,0,8,6s As 5h Kd 8h,Tc Kh,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0
16,184288028087,III,50,150,8,Td 4d Ac 9h 4h,Tc Th,1,2,0,1,1,1,0,1,0,1,0,1,0,1,1
17,184288085321,III,50,105,8,Jc 9c 7d Ah 3c,Qd Kh,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
18,184288107892,III,50,6660,8,3d 4c 3c 2d 4d,6s 6d,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
19,184288202926,III,50,150,8,As 8h 9h 8d Ac,Ah 9c,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0
20,184286465543,I,20,120,9,Qs 3s 3h 8d 2c,Ad Qh,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0
21,184286544067,I,20,0,8,9s 7c 4s 2h 4c,Ah 7s,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0
22,184286575728,I,20,0,8,8s 6s Th 3h Qc,Ac Ts,0,3,0,1,1,1,0,1,0,1,0,1,0,1,2
